"departamento","codigo_departamento","municipio","codigo_municipio","poblacion","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04"
"GUATEMALA","01","SIN DATOS","99","SIN DATO",2,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,2,2,1,1,1,3,6,8,15,11,9,12,8,6,8,11,10,12,17,30,26,16,30,72,9,8,21,24,21,30,23,17,12,10,23,88,9,82,55,41,11,61,62,57,49,28,17,29,57,35,159,138,37,1,8,1,0,0,2,1,2,2,1,1,1,0,1,2,1,1,0,0,2,2,0,1,1,10,0,3,1,2,2,2,6,10,5,9,0,4,1,0,0,2,0,5,3,3,0,1,0,0,0,1,0,0,1,1,3,2,2,2,3,1,3,3,0,1,3,1,3,4,2,0,4,5,3,4,2,3,2,3,1,4,3,6,2,2,9,2,0,1,2,1,0,2,1,4,2,1,4,0,0,0,0,0,1,1,1,2,2,0,0,3,0,1,1,4,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUEHUETENANGO","13","SANTA ANA HUISTA","1331","10225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"GUATEMALA","01","GUATEMALA","0101","1205668",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1,1,0,3,3,0,2,5,2,4,7,0,5,6,4,1,1,5,2,0,0,1,1,1,4,3,4,5,4,8,6,9,3,2,4,18,4,6,8,3,17,4,35,17,5,13,20,7,25,19,18,34,50,51,29,40,64,27,22,71,82,55,59,70,56,72,75,91,97,95,85,84,65,156,137,183,184,241,79,55,166,195,129,159,113,116,53,179,147,129,160,200,252,193,161,182,272,193,239,244,212,548,353,421,449,420,526,253,570,480,536,597,684,592,311,400,605,748,599,567,455,314,513,474,433,546,634,510,242,497,423,537,526,471,434,260,611,500,411,436,357,366,192,464,416,355,418,389,424,243,415,339,284,263,259,216,163,362,424,241,251,247,217,169,252,228,201,246,202,194,163,320,205,232,192,208,158,177,263,220,211,153,211,171,163,234,181,184,211,190,169,131,225,190,214,225,246,188,236,318,187,202,195,172,155,139,175,130,87,91,40,32,1
"SACATEPEQUEZ","03","ANTIGUA GUATEMALA","0301","58338",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,2,1,0,0,3,1,3,1,0,0,2,7,0,0,2,1,2,6,2,5,11,3,10,1,5,5,8,2,4,3,2,1,8,6,4,24,12,10,23,13,15,10,44,46,23,26,26,23,24,40,36,34,25,48,34,41,36,31,32,44,47,38,35,32,54,27,28,27,40,26,33,30,34,19,41,28,34,18,30,22,18,25,26,7,23,20,20,21,25,16,17,19,34,30,22,35,20,17,28,14,3,11,21,16,14,17,24,17,15,38,14,19,33,23,17,21,17,28,23,26,23,21,8,26,47,37,46,13,12,15,24,29,22,14,13,11,37,31,32,40,28,46,46,27,29,18,15,9,16,14,15,18,24,24,10,12,3,0
"GUATEMALA","01","MIXCO","0108","494561",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,2,2,1,5,1,0,0,1,0,0,0,1,1,1,0,0,3,2,3,1,1,1,0,3,2,5,1,3,5,4,1,9,3,5,4,7,3,6,7,3,18,17,13,8,8,20,11,13,22,9,21,20,24,80,19,21,23,29,32,40,40,30,43,60,72,78,92,38,21,75,79,51,53,51,77,24,46,75,47,76,89,85,54,103,96,134,151,123,64,64,179,91,127,101,125,149,66,134,213,175,205,232,164,85,100,179,236,198,192,133,89,164,132,141,158,207,174,77,167,174,196,180,193,143,65,147,170,109,96,118,101,67,160,128,108,115,113,142,80,134,99,101,70,82,75,53,118,63,60,84,88,80,43,86,83,64,76,71,60,58,73,76,90,72,43,34,73,89,80,56,53,61,52,57,68,64,45,63,57,41,42,75,64,68,59,63,68,68,100,86,69,55,75,43,47,47,36,51,25,9,7,1
"GUATEMALA","01","VILLA NUEVA","0115","464528",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,3,0,3,1,0,1,2,1,1,1,1,0,2,3,3,4,2,4,8,5,3,3,4,5,6,5,6,6,4,16,8,8,10,15,15,37,19,10,8,17,22,27,28,20,11,16,43,40,57,62,48,22,24,52,50,51,41,32,19,19,63,47,48,60,62,66,50,62,64,82,63,105,74,72,121,71,103,89,88,151,56,121,127,129,163,212,135,69,72,160,159,165,179,94,66,109,133,104,122,147,155,50,165,108,130,98,101,73,51,136,115,94,118,92,62,44,93,84,79,82,85,73,57,94,61,65,50,53,60,50,62,43,53,40,49,44,43,47,52,33,52,40,42,28,48,41,29,33,47,24,34,47,55,37,27,38,39,31,39,37,32,36,40,23,21,40,41,38,30,50,42,48,41,28,22,28,51,34,17,35,21,20,12,3,4,0
"SIN DATO","99","SIN DATO","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAN MARCOS","12","SAN MARCOS","1201","48644",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,4,1,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,2,3,3,3,1,2,2,14,0,30,25,10,0,4,4,2,0,9,51,21,3,0,2,0,2,3,7,9,0,1,0,4,3,1,3,0,1,1,4,11,6,4,4,3,0,3,10,5,10,10,5,1,4,2,4,5,12,3,16,5,1,5,4,5,6,3,10,4,5,5,4,4,5,2,6,2,12,11,7,12,7,4,8,3,9,3,9,10,8,3,7,8,9,15,5,8,12,10,7,2,8,8,7,13,6,4,3,5,6,8,3,3,7,7,5,4,11,8,8,5,12,7,12,14,11,3,10,17,22,10,14,10,7,11,13,8,5,10,7,4,0,2,0
"SANTA ROSA","06","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,0,2,3,0,1,2,1,1,0,0,0,0,0,0,1,2,0,1,1,0,0,3,2,0,4,1,2,3,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUETZALTENANGO","09","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,2,0,0,0,0,11,1,0,1,6,2,1,1,3,1,0,0,0,0,2,6,2,1,4,1,0,1,17,10,1,2,10,0,2,13,3,1,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,2,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
