"departamento","codigo_departamento","municipio","codigo_municipio","poblacion","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-10","2020-10-11","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-17","2020-10-18","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-24","2020-10-25","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-10-31","2020-11-01","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-19","2020-12-20","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-25","2020-12-26","2020-12-27","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-01","2021-01-02","2021-01-03","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-09","2021-01-10","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-16","2021-01-17","2021-01-18","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-23","2021-01-24","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-01-30","2021-01-31","2021-02-01","2021-02-02","2021-02-03","2021-02-04"
"GUATEMALA","01","GUATEMALA","0101","1205668",1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,15,6,9,15,7,1,0,5,4,1,5,4,4,0,5,4,3,4,0,3,9,7,6,6,9,16,11,5,16,2,19,14,36,18,11,47,29,42,37,33,31,37,69,89,79,99,84,41,22,79,55,100,106,111,124,73,145,147,200,188,96,157,165,293,284,377,455,400,218,140,333,423,296,244,168,128,86,223,303,271,295,369,408,276,418,482,478,619,603,413,372,839,716,815,861,1027,816,235,994,1139,1061,1231,1317,1078,285,621,1601,1367,1217,1240,984,244,1004,1150,1059,1131,1211,924,275,1194,1224,1326,1281,1099,692,227,1233,1226,1178,1100,1128,672,210,1439,1272,1176,1074,1060,762,351,1251,1045,898,839,833,550,233,1304,1108,1016,889,730,402,274,769,698,674,641,587,436,239,717,652,587,623,623,385,210,664,669,595,526,579,392,231,685,623,601,606,459,357,222,720,344,668,625,847,497,351,903,772,717,728,790,395,304,714,738,1009,932,1304,632,342,1266,1129,1469,1464,1162,539,276,1076,1125,1192,1432,797,514,281,856,472,875,759,888,459,316,896,919,1074,968,1045,660,325,731,810,778,897,1018,607,397,972,1152,1125,1053,917,590,349,1014,1014,1078,856,900,551,372,915,908,1078,957,962,688,408,982,958,1159,1485,1352,796,475,1572,1294,1296,1157,1146,761,598,1468,1459,1615,1718,1327,893,666,1560,1403,1613,863,427,999,637,1515,1369,1564,827,498,1132,794,2010,1739,1542,1678,1669,1861,826,2051,1603,1765,1671,1493,942,627,1980,1458,1536,1311,1203,958,664,1392,1193,1197,1174,702,475,342,816,624,551,201
"GUATEMALA","01","SIN DATOS","99","SIN DATO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,3,0,6,15,12,7,10,3,3,0,0,5,21,18,26,40,13,26,75,14,5,25,20,36,30,28,7,26,20,29,92,29,80,57,42,66,62,85,60,48,29,19,31,59,46,165,139,42,1,6,4,1,0,0,2,1,7,2,24,3,4,2,0,2,2,1,2,3,4,2,1,1,20,10,6,6,6,5,10,8,14,7,7,3,3,3,4,3,3,7,3,4,12,4,2,1,0,1,9,2,1,1,1,6,1,4,3,0,3,8,5,0,1,7,2,5,9,7,2,10,4,9,8,10,1,2,9,15,6,8,6,8,4,17,22,11,5,9,5,0,7,4,5,8,0,3,0,4,0,0,1,1,1,1,4,3,2,0,2,0,1,2,4,4,0,0,3,0,0,0,0,1,1,0,0,0,1,2,1,0,2,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHIMALTENANGO","04","PARRAMOS","0414","19693",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,6,0,1,5,0,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,5,3,2,2,2,1,2,2,3,6,2,1,0,2,3,0,10,1,0,0,1,1,2,3,4,3,1,1,3,3,2,0,0,0,1,0,0,0,2,0,1,3,0,1,0,3,0,0,0,1,8,1,3,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,1,4,4,3,6,0,0,1,4,6,1,0,1,0,0,0,1,2,0,3,0,1,0,2,1,2,0,2,11,15,7,2,5,1,0,3,0,1,8,4,2,0,0,2,1,3,0,1,0,1,1,2,5,12,3,0,13,1,4,3,8,0,3,4,2,1,2,3,0,0,2,1,1,2,1,0,0,5,0,0,0,2,2,2,5,3,6,5,1,1,1,8,5,2,4,5,0,0,0,0,1,0,3,0,3,3,0,4,2,13,2,0,4,2,4,1,3,1,0,0,4,0,1,0,1,0,12,0,2,1,0,2,0,2,3,3,4,3,0,0,1,5,5,6,0,5,0,2,2,1,5,2,1,0,9,0,4,10,2,0,1,5,1,5,6
"GUATEMALA","01","VILLA NUEVA","0115","464528",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,0,0,1,2,2,2,2,1,2,3,2,11,0,3,10,2,3,2,9,4,4,6,7,16,7,12,6,4,9,14,19,41,15,15,6,24,32,40,40,16,17,16,46,54,92,105,65,34,26,79,83,67,59,38,20,17,73,57,42,55,85,76,46,90,140,107,116,136,93,72,158,150,152,175,165,186,48,214,242,231,312,344,229,56,143,289,280,297,319,228,38,253,246,272,218,216,166,37,254,233,271,260,206,151,31,246,241,202,202,240,121,24,255,209,206,186,182,97,49,202,126,132,118,137,95,47,170,147,167,139,139,68,38,140,109,97,96,103,61,28,121,90,76,90,106,41,24,105,102,93,68,92,30,27,102,96,74,115,83,41,30,95,33,107,59,125,59,40,149,115,129,130,97,64,41,119,90,128,114,104,69,28,125,127,138,102,131,69,49,94,124,105,114,111,83,30,124,115,124,122,130,96,54,138,140,139,153,172,85,52,90,161,107,133,270,60,53,191,267,347,420,410,74,59,284,298,292,129,163,74,64,170,283,423,196,201,76,73,184,176,250,194,153,115,70,247,155,271,246,202,85,47,193,246,246,274,315,119,81,223,170,176,70,41,103,95,225,240,211,107,56,135,120,303,259,210,196,231,138,77,230,191,207,227,285,135,130,200,212,191,233,224,144,123,234,207,210,172,109,96,91,117,113,109,18
"QUICHE","14","SANTA CRUZ DEL QUICHE","1401","97974",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,2,2,1,0,0,2,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,2,1,0,3,0,14,0,0,1,0,12,2,2,1,3,1,3,2,4,2,11,1,1,6,1,3,3,7,0,0,3,1,3,2,3,0,1,13,8,4,4,15,1,1,9,5,12,0,12,3,3,13,2,8,8,19,2,4,13,7,9,20,16,9,2,15,23,17,5,6,4,2,3,11,20,9,11,9,1,8,7,2,2,10,5,0,16,7,5,9,11,12,4,12,8,22,32,18,10,1,14,17,16,25,11,4,5,10,7,30,28,23,20,12,18,25,20,28,25,14,7,17,13,37,21,29,4,2,7,11,11,9,15,8,5,8,18,17,15,13,5,11,5,23,11,28,34,12,3,26,27,49,17,14,8,1,13,11,12,26,8,9,2,5,8,17,9,6,4,4,3,13,12,5,6,3,3,7,13,8,16,5,3,5,3,13,4,5,2,8,2,11,16,0,3,6,14,5,21,35,26,24,16,21,13,29,30,24,19,13,7,10,14,27,29,13,27,9,0,25,12,31,25,24,10,6,15,41,23,3
"TOTONICAPAN","08","TOTONICAPAN","0801","117483",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,2,13,0,1,0,0,42,0,6,2,0,0,2,2,1,0,4,3,1,4,11,0,2,0,2,2,2,2,50,5,3,1,4,2,1,0,5,3,1,2,0,2,12,5,8,3,1,1,3,9,3,6,2,4,5,2,2,4,4,5,8,6,5,11,5,7,10,14,1,7,14,10,11,12,4,1,6,15,12,10,15,4,6,11,6,13,12,13,8,4,6,16,9,17,14,14,8,14,16,29,21,11,18,8,31,12,20,13,11,18,62,130,36,19,27,31,16,15,16,19,18,15,18,11,11,36,35,18,37,14,13,3,39,25,29,22,20,15,27,17,27,41,31,19,31,15,33,49,21,33,21,5,27,36,16,12,43,50,18,34,213,298,21,42,56,13,6,26,20,16,19,26,11,6,35,19,36,42,52,19,5,35,40,24,23,40,11,8,32,39,33,28,73,21,8,22,27,32,54,44,20,11,45,24,33,23,27,14,31,24,24,32,14,19,21,9,16,11,19,21,15,12,4,14,41,0,17,21,6,3,24,46,20,23,11,8,9,27,36,19,8,13,15,11,45,12,17,10,7,13,5,25,18,31,22,37,18,19,73,32,54,47,32,13,20,44,58,37,41,34,17,8,54,52,40,33,18,15,16,40,37,16,5
"CHIQUIMULA","20","IPALA","2011","23435",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,5,1,0,2,0,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,10,1,1,0,0,1,1,0,2,1,0,2,3,0,0,4,0,0,1,0,0,1,2,0,2,4,1,3,0,3,0,1,2,0,7,2,1,1,0,0,0,2,3,1,0,1,1,0,0,2,4,6,0,0,2,0,3,7,1,6,5,3,16,13,161,4,1,0,23,3,11,9,0,0,16,3,0,2,4,1,0,10,8,2,18,9,3,2,13,35,15,16,13,1,1,29,18,8,9,7,1,0,24,7,5,11,14,1,1,20,87,93,60,9,1,2,7,6,4,1,1,0,0,12,1,0,3,4,1,0,11,10,8,3,1,1,1,5,4,5,4,2,0,0,9,7,8,4,2,0,1,3,13,12,7,5,2,2,4,6,2,0
"ESCUINTLA","05","PALIN","0511","70118",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,6,1,2,1,0,1,2,0,0,0,9,2,1,1,1,1,5,7,3,0,0,1,2,13,4,5,5,4,4,2,0,3,5,1,0,7,11,12,9,5,1,4,17,21,12,28,9,7,2,9,9,11,16,7,8,0,18,20,24,14,27,13,5,15,21,22,10,10,14,3,12,23,10,22,7,20,1,15,16,19,8,12,9,2,26,14,19,23,16,4,0,13,24,6,11,7,4,1,14,10,5,6,22,1,0,19,7,12,7,5,1,1,9,9,9,8,8,4,2,9,6,8,1,4,3,1,15,7,6,6,6,7,2,10,14,10,8,14,6,1,7,1,11,9,4,4,1,18,10,9,15,8,7,1,10,22,11,5,10,7,3,10,9,7,12,10,7,6,3,12,5,19,4,0,6,14,7,4,9,8,3,2,5,4,17,20,6,5,4,7,16,10,2,8,2,1,6,6,3,8,21,2,0,18,3,6,1,7,2,1,11,8,3,4,6,3,1,5,19,6,4,4,1,2,54,2,6,9,13,5,0,18,21,18,11,18,3,1,76,22,8,0,0,2,0,18,16,7,6,0,2,4,20,8,6,16,17,9,3,24,16,29,9,14,5,4,9,3,2,7,7,9,11,10,9,10,17,5,3,1,4,2,0,0
"ESCUINTLA","05","SIQUINALA","0504","25677",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,3,2,11,1,0,0,0,6,0,0,0,0,0,2,0,0,1,1,1,0,0,0,2,1,1,4,0,0,0,1,6,1,2,1,1,1,5,1,2,4,1,0,1,2,2,2,1,1,0,1,3,3,5,1,1,1,2,1,1,4,3,1,1,0,3,1,1,0,2,4,5,2,4,0,2,1,3,1,2,22,3,2,2,0,1,5,13,1,0,0,0,1,4,1,4,3,0,1,2,0,2,4,2,0,0,0,1,3,0,1,1,0,0,1,1,9,0,0,1,0,5,5,3,1,0,0,1,2,5,1,2,1,1,1,6,1,0,6,1,0,2,1,7,5,2,0,0,8,1,1,8,6,0,0,5,0,1,4,5,0,1,2,1,2,1,4,0,1,1,5,2,1,3,2,0,0,0,2,2,1,1,0,1,1,0,3,5,0,0,4,0,2,1,3,0,0,0,20,2,1,9,1,0,7,7,1,3,12,0,0,4,3,1,0,0,0,1,21,4,0,1,0,1,1,11,8,4,2,1,0,0,4,1,2,2,0,0,1,2,0,3,4,5,0,1,7,29,7,8,11,0,0,2,4,1,0
"HUEHUETENANGO","13","HUEHUETENANGO","1301","129232",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,1,0,0,0,0,2,0,4,0,2,1,0,2,0,1,4,4,0,0,2,1,5,34,11,5,1,0,1,2,3,6,0,0,9,1,2,0,4,1,7,1,9,2,4,1,1,3,10,4,5,4,24,2,2,2,2,3,7,4,3,2,5,8,8,6,4,3,2,6,7,10,4,5,8,6,15,14,14,9,19,21,12,14,21,13,8,10,6,6,18,16,28,38,19,23,8,42,39,34,30,50,24,10,35,32,31,46,42,26,13,34,45,36,22,37,14,10,29,21,24,24,38,19,13,30,22,22,22,56,12,3,30,21,10,69,33,13,9,72,10,9,58,646,862,872,52,78,75,113,164,20,6,79,101,72,93,111,58,34,111,92,80,87,64,66,53,72,76,71,95,96,66,52,169,71,109,73,94,53,58,93,80,66,70,75,46,15,59,62,76,42,54,30,43,62,71,77,45,90,51,36,81,48,59,59,63,27,22,58,43,47,36,54,18,33,47,48,67,16,70,39,25,57,57,44,61,62,31,38,83,53,78,63,92,58,29,38,80,68,18,5,64,42,68,83,98,15,16,74,75,92,92,114,73,69,70,55,124,116,118,103,111,49,31,96,67,77,76,88,58,45,79,66,61,74,454,323,754,24,54,25,9
